"id","year","communitynumber_communityname_ar","communitynumber_communityname_en","population"
"393","2019","111-الكورنيش","111-AL CORNICHE","1735"
"394","2019","112-الرأس","112-AL RASS","7460"
"395","2019","413-رأس الخور","413-RAS AL KHOR","2"
"396","2019","415-الخيران الأولى","415-AL KHAIRAN FIRST","587"
"397","2019","416-ند الحمر","416-NAD AL HAMAR","14216"
"398","2019","421-الورقاء الأولى","421-AL WARQAA FIRST","24679"
"399","2019","422-الورقاء الثانية","422-AL WARQAA  SECOND","10689"
"400","2019","423-الورقاء الثالثة","423-AL WARQAA THIRD","14728"
"401","2019","424- الورقاء الرابعة ","424-AL WARQAA FOURTH ","13452"
"402","2019","425- الورقاء الخامسة ","425-AL WARQAA FIFTH ","60"
"403","2019","431-وادي الشبك ","431-WADI ALSHABAK ","55"
"404","2019","501-نخلة جبل علي","501-NAKHLAT JABAL ALI","5"
"405","2019","502-الواجهة البحرية","502-AL WAJEHAH AL BHARIYAH","4"
"406","2019","511-حصيان الاولى","511-HESSYAN FIRST","3492"
"407","2019","512-حصيان الثانية","512-HESSYAN SECOND","45"
"408","2019","513-سيح شعيب 1","513-SAIH SHUAIB 1","9"
"409","2019","516-جبل علي الصناعية الثالثة ","516-JABAL ALI INDUSTRIAL THIRD","2462"
"410","2019","518-جبل علي الصناعية الثانية","518-JABAL ALI INDUSTRIAL SECOND","23000"
"411","2019","521-مدينة المطار","521-MADINAT AL MATAAR","2697"
"412","2019","531-سيح شعيب 2","531-SAIH SHUAIB 2","14491"
"413","2019","532-سيح شعيب 3","532-SAIH SHUAIB 3","11144"
"414","2019","533-سيح شعيب 4","533-SAIH SHUAIB 4","11170"
"415","2019","591-جبل علي الأولى","591-JABAL ALI FIRST","75287"
"416","2019","592-جبل علي الثانية","592-JABAL ALI  SECOND","1570"
"417","2019","593-جبل علي الثالثة","593-JABAL ALI THIRD","1513"
"418","2019","594-ميناء جبل علي","594-MENA JABAL ALI","24487"
"419","2019","597-مجمع دبي للإستثمار الثاني","597-DUBAI INVESTMENT PARK2","60630"
"420","2019","598-مجمع دبي للإستثمارالاول","598-DUBAI INVESTMENT PARK1","69956"
"421","2019","599-جبل علي الصناعية الأولى","599-JABAL ALI INDUSTRIAL FIRST","128975"
"422","2019","891-حتا","891-HATTA","14045"
"423","2019","911-أم نهد الأولى","911-UMM NAHAD FIRST","8"
"424","2019","912-أم نهد الثانية","912-UMM NAHAD SECOND","2"
"425","2019","913-أم نهد الثالثة","913-UMM NAHAD THIRD","1347"
"426","2019","914-أم نهد الرابعة","914-UMM NAHAD FOURTH","4"
"427","2019","915-اليفره 1","915-AL YUFRAH 1","403"
"428","2019","916-اليفره 2","916-AL YUFRAH 2","58"
"429","2019","917-المرموم","917-AL MARMOOM","94"
"430","2019","918-اليفره 3","918-AL YUFRAH 3","4"
"431","2019","919-اليفره 4","919-AL YUFRAH 4","3"
"432","2019","921-اليلايس 1","921-AL YALAYIS 1","1114"
"433","2019","922-اليلايس 2","922-AL YALAYIS 2","1364"
"434","2019","923-اليلايس 3","923-AL YALAYIS 3","4"
"435","2019","924-اليلايس 4","924-AL YALAYIS 4","8"
"436","2019","925-اليلايس 5","925-AL YALAYIS 5","100"
"437","2019","931-الليسيلي","931-AL LESAILY","2856"
"438","2019","941-قريطيسه","941-GRAYTEESAH","55"
"439","2019","945-الفقع","945-AL FAGAA","417"
"440","2019","951-سيح السلم","951-SAIH AL SALAM","607"
"441","2019","956-الحثمة","956-AL HATHMAH","35"
"442","2019","961-الصلال","961-AL SELAL","665"
"443","2019","967-غدير براشي","967-GHADEER BARASHY","7"
"444","2019","971-سيح الدحل","971-SAIH AL DAHAL","16"
"445","2019","975-العشوش","975-AL OSHOOSH","0"
"446","2019","978-سيح شعيله","978-SAIH SHUAALAH","3"
"447","2019","981-مقطره","981-MUGATRAH","804"
"448","2019","987-الليان 1","987-AL LAYAN 1","10"
"449","2019","988-الليان 2","988-AL LAYAN 2","0"
"450","2019","991-حفير","991-HEFAIR","0"
"451","2019","612-رأس الخور الصناعية الأولى","612-RAS AL KHOR IND. FIRST","2550"
"452","2019","611-بو كدرة","611-BU KADRA","16"
"453","2020","422-الورقاء الثانية","422-AL WARQAA  SECOND","10981"
"454","2020","421-الورقاء الأولى","421-AL WARQAA FIRST","24865"
"455","2020","416-ند الحمر","416-NAD AL HAMAR","14571"
"456","2020","415-الخيران الأولى","415-AL KHAIRAN FIRST","947"
"457","2020","413-رأس الخور","413-RAS AL KHOR","2"
"458","2020","648-وادي الصفا 5","648-WADI AL SAFA 5","21536"
"459","2020","646-وادي الصفا 4","646-WADI AL SAFA 4","160"
"460","2020","645-وادي الصفا 3","645-WADI AL SAFA 3","9906"
"461","2020","643-وادي الصفا 2","643-WADI AL SAFA 2","10678"
"462","2020","631-حدائق الشيخ محمد بن راشد","631-HADAEQ SHEIKH MOHAMMED BIN RASHID","1688"
"463","2020","626-ند حصة","626-NADD HESSA","39131"
"464","2020","624-ورسان الرابعة","624-WARSAN FOURTH","8763"
"465","2020","513-سيح شعيب 1","513-SAIH SHUAIB 1","15"
"466","2020","516-جبل علي الصناعية الثالثة ","516-JABAL ALI INDUSTRIAL THIRD","2462"
"467","2020","518-جبل علي الصناعية الثانية","518-JABAL ALI INDUSTRIAL SECOND","23000"
"468","2020","521-مدينة المطار","521-MADINAT AL MATAAR","3404"
"469","2020","531-سيح شعيب 2","531-SAIH SHUAIB 2","14511"
"470","2020","532-سيح شعيب 3","532-SAIH SHUAIB 3","8200"
"471","2020","533-سيح شعيب 4","533-SAIH SHUAIB 4","11170"
"472","2020","591-جبل علي الأولى","591-JABAL ALI FIRST","76016"
"473","2020","592-جبل علي الثانية","592-JABAL ALI  SECOND","1573"
"474","2020","593-جبل علي الثالثة","593-JABAL ALI THIRD","1513"
"475","2020","594-ميناء جبل علي","594-MENA JABAL ALI","24795"
"476","2020","597-مجمع دبي للإستثمار الثاني","597-DUBAI INVESTMENT PARK2","54474"
"477","2020","598-مجمع دبي للإستثمارالاول","598-DUBAI INVESTMENT PARK1","69117"
"478","2020","599-جبل علي الصناعية الأولى","599-JABAL ALI INDUSTRIAL FIRST","147777"
"479","2020","611-بو كدرة","611-BU KADRA","2"
"480","2020","612-رأس الخور الصناعية الأولى","612-RAS AL KHOR IND. FIRST","2564"
"481","2020","613-رأس الخور الصناعية الثانية","613-RAS AL KHOR IND. SECOND","2529"
"482","2020","614-رأس الخور الصناعية الثالثة","614-RAS AL KHOR IND. THIRD","22358"
"483","2020","615-ند الشبا الثانية","615-NAD AL SHIBBA SECOND","2486"
"484","2020","616-ند الشبا الثالثة","616-NAD AL SHIBBA THIRD","1098"
"485","2020","617-ند الشبا الرابعة","617-NAD AL SHIBBA FOURTH","3779"
"486","2020","618-ند الشبا الأولى","618-NAD AL SHIBBA FIRST","6056"
"487","2020","621-ورسان الأولى","621-WARSAN FIRST","106601"
"488","2020","622-ورسان الثانية","622-WARSAN SECOND","1380"
"489","2020","917-المرموم","917-AL MARMOOM","96"
"490","2020","918-اليفره 3","918-AL YUFRAH 3","711"
"491","2020","919-اليفره 4","919-AL YUFRAH 4","3"
"492","2020","921-اليلايس 1","921-AL YALAYIS 1","1130"
"493","2020","922-اليلايس 2","922-AL YALAYIS 2","1380"
"494","2020","923-اليلايس 3","923-AL YALAYIS 3","4"
"495","2020","924-اليلايس 4","924-AL YALAYIS 4","8"
"496","2020","317-المنخول","317-AL MANKHOOL","40520"
"497","2020","316-الرفاعة","316-AL RAFFA","47652"
"498","2020","315-ام هرير الثانية","315-UM HURAIR SECOND","5414"
"499","2020","314-ام هرير الأولى","314-UM HURAIR FIRST","5950"
"500","2020","313-الحمرية","313-AL HAMRIYA","37012"
"501","2020","312-السوق الكبير","312-AL SUQ AL KABEER","51293"
"502","2020","311-الشندغة","311-AL SHANDAGA","7"
"503","2020","304-جزيرة جميرا 2","304-JUMEIRA ISLAND 2","3"
"504","2020","303-جزر العالم","303-WORLD ISLANDS","7"
"505","2020","302-شاطئ جميرا","302-JUMEIRA BAY","39"
"506","2020","284-الطي","284-AL TTAY","810"
"507","2020","283-العياص","283-AL AYAS","1770"
"508","2020","282-الخوانيج الثانية","282-AL KHAWANEEJ TWO","5322"
"509","2020","281-الخوانيج الأولى","281-AL KHAWANEEJ ONE","13206"
"510","2020","271-وادي العمردي","271-WADI ALAMRADI","3451"
"511","2020","268-عود المطينة الثالثة","268-OUD AL MUTEEN THIRD ","6847"
"512","2020","267-محصينة الخامسة ","267-MUHAISANAH FIFTH","2"
"513","2020","266-عود المطينة الثانية ","266-OUD AL MUTEEN SECOND ","5647"
"514","2020","265-عود المطينة الأولى","265-OUD AL MUTEEN FIRST","15052"
"515","2020","264-محيصنة الثانية ","264-MUHAISANAH SECOND ","194618"
"516","2020","263-المزهر الثانية","263-AL MEZHAR SECOND","11600"
"517","2020","262-المزهر الأولى","262-AL MEZHAR FIRST","16968"
"518","2020","261-محيصنة الأولى","261-MUHAISANAH FIRST","8283"
"519","2020","252-مشرف","252-MUSHRAIF","67"
"520","2020","251-مردف","251-MURDAF","65044"
"521","2020","248-القصيص الصناعية الخامسة","248-AL QUSAIS IND FIFTH","2034"
"522","2020","247-القصيص الصناعية الرابعة","247-AL QUSAIS IND. FOURTH","2751"
"523","2020","246-القصيص الصناعية الثالثة","246-AL QUSAIS IND. THIRD","3524"
"524","2020","245-محيصنة الرابعة","245-MUHAISANAH FOURTH","35083"
"525","2020","244-محيصنة الثالثة","244-MUHAISANAH THIRD","6649"
"526","2020","243-القصيص الصناعية الثانية","243-AL QUSAIS IND. SECOND","8967"
"527","2020","242-القصيص الصناعية الأولى","242-AL QUSAIS IND. FIRST","9511"
"528","2020","241-النهدة الثانية","241-AL NAHDA SECOND","62706"
"529","2020","112-الرأس","112-AL RASS","7537"
"530","2020","111-الكورنيش","111-AL CORNICHE","1961"
"531","2020","101-نخلة ديرة","101-NAKHLAT DEIRA","2"
"532","2020","512-حصيان الثانية","512-HESSYAN SECOND","10398"
"533","2020","511-حصيان الاولى","511-HESSYAN FIRST","3518"
"534","2020","502-الواجهة البحرية","502-AL WAJEHAH AL BHARIYAH","4"
"535","2020","501-نخلة جبل علي","501-NAKHLAT JABAL ALI","5"
"536","2020","431-وادي الشبك ","431-WADI ALSHABAK ","3"
"537","2020","425- الورقاء الخامسة ","425-AL WARQAA FIFTH ","0"
"538","2020","424- الورقاء الرابعة ","424-AL WARQAA FOURTH ","13881"
"539","2020","423-الورقاء الثالثة","423-AL WARQAA THIRD","15147"
"540","2020","352-جميرا الثالثة","352-JUMEIRA THIRD","13690"
"541","2020","347-المركاض","347-AL MERKADH","1457"
"542","2020","346-الخليج التجاري","346-AL KALIJ AL TEJARI","21497"
"543","2020","345-برج خليفة","345-BURJ KHALIFA","20795"
"544","2020","343-الوصل","343-AL WASL","11725"
"545","2020","342-جميرا الثانية","342-JUMEIRA SECOND","10284"
"546","2020","337-زعبيل الثانية","337-ZAABEEL SECOND","8258"
"547","2020","336-المركز التجاري الثانية","336-TRADE CENTER SECOND","12419"
"548","2020","335-المركز التجاري الأولى","335-TRADE CENTER FIRST","16734"
"549","2020","334-السطوة","334-AL SATWA","39297"
"550","2020","333-البدع","333-AL BADA","57487"
"551","2020","332-جميرا الأولى","332-JUMEIRA FIRST","20715"
"552","2020","326-الجداف","326-AL JADAF","5873"
"553","2020","325-زعبيل الأولى","325-ZAABEEL FIRST","3331"
"554","2020","324-الكفاف","324-AL KIFAF","2"
"555","2020","323-الجافلية","323-AL JAFLIYA","24281"
"556","2020","322-الحضيبة","322-AL HUDAIBA","14372"
"557","2020","321-مدينه دبي الملاحيه (الميناء)","321-MADINAT DUBAI AL MELAHEYAH (AL MINA)","14753"
"558","2020","319-عود ميثاء","319-OUD METHA","15061"
"559","2020","318-الكرامة","318-AL KARAMA","75560"
"560","2020","991-حفير","991-HEFAIR","0"
"561","2020","988-الليان 2","988-AL LAYAN 2","0"
"562","2020","987-الليان 1","987-AL LAYAN 1","0"
"563","2020","981-مقطره","981-MUGATRAH","805"
"564","2020","978-سيح شعيله","978-SAIH SHUAALAH","3"
"565","2020","975-العشوش","975-AL OSHOOSH","3"
"566","2020","971-سيح الدحل","971-SAIH AL DAHAL","3"
"567","2020","967-غدير براشي","967-GHADEER BARASHY","32"
"568","2020","961-الصلال","961-AL SELAL","666"
"569","2020","956-الحثمة","956-AL HATHMAH","35"
"570","2020","951-سيح السلم","951-SAIH AL SALAM","608"
"571","2020","945-الفقع","945-AL FAGAA","425"
"572","2020","941-قريطيسه","941-GRAYTEESAH","55"
"573","2020","931-الليسيلي","931-AL LESAILY","2906"
"574","2020","925-اليلايس 5","925-AL YALAYIS 5","100"
"575","2020","227-الطوار الثانية","227-AL TWAR SECOND","4909"
"576","2020","228-الطوار الثالثة","228-AL TWAR THIRD","10837"
"577","2020","231-النهدة الأولى","231-AL NAHDA FIRST","31828"
"578","2020","232-القصيص الأولى","232-AL QUSAIS FIRST","46210"
"579","2020","233-القصيص الثانية","233-AL QUSAIS SECOND","12654"
"580","2020","234-القصيص الثالثة","234-AL QUSAIS THIRD","7263"
"581","2020","916-اليفره 2","916-AL YUFRAH 2","858"
"582","2020","915-اليفره 1","915-AL YUFRAH 1","403"
"583","2020","914-أم نهد الرابعة","914-UMM NAHAD FOURTH","4"
"584","2020","913-أم نهد الثالثة","913-UMM NAHAD THIRD","1347"
"585","2020","912-أم نهد الثانية","912-UMM NAHAD SECOND","2"
"586","2020","911-أم نهد الأولى","911-UMM NAHAD FIRST","8"
"587","2020","891-حتا","891-HATTA","14400"
"588","2020","861-يراح","861-YARAAH","95"
"589","2020","857-مرقب","857-MARGAB","635"
"590","2020","851-رماح","851-REMAH","232"
"591","2020","847-أم السلي","847-UMM ESELAY","206"
"592","2020","845-المها","845-AL MAHA","195"
"593","2020","841-مرغم","841-MARGHAM","1023"
"594","2020","835-أم المؤمنين","835-UMM AL MOMENEEN","310"
"595","2020","831-لهباب الثانية","831-LEHBAB SECOND","1530"
"596","2020","826-الحميرا","826-LE HEMAIRA","53"
"597","2020","824-أم الدمن","824-UMM AL DAMAN","287"
"598","2020","821-مرييل","821-MEREIYEEL","1120"
"599","2020","814-الرويه الثالثة","814-AL ROWAIYAH THIRD","4494"
"600","2020","813-الرويه الثانية","813-AL ROWAIYAH SECOND","0"
"601","2020","226-الطوار الأولى","226-AL TWAR FIRST","11687"
"602","2020","221-مطار دبي الدولي","221-DUBAI  AIRPORT","22"
"603","2020","216-الراشدية","216-AL RASHIDIYA","37493"
"604","2020","215-ام رمول","215-UM RAMOOL","2958"
"605","2020","214-القرهود","214-AL GARHOUD","18746"
"606","2020","213-ند شما","213-NAD SHAMMA","3200"
"607","2020","134-الممزر","134-AL MAMZER","15286"
"608","2020","133-هور العنز شرق","133-HOR AL ANZ EAST","21430"
"609","2020","132-الوحيدة","132-AL WAHEDA","21018"
"610","2020","131-ميناء الحمرية","131-AL HAMRIYA PORT","485"
"611","2020","129-بور سعيد","129-PORT SAEED","13708"
"612","2020","128-الخبيصي","128-AL KHBEESI","2016"
"613","2020","127-هورالعنز","127-HOR AL ANZ","83529"
"614","2020","126-ابو هيل","126-ABU HAIL","17481"
"615","2020","125-رقة البطين","125-REGA AL BUTEEN","7216"
"616","2020","124-المرقبات","124-AL MURQABAT","70112"
"617","2020","123-المطينة","123-AL MUTEENA","46510"
"618","2020","122-البراحة","122-AL BARAHA","24961"
"619","2020","121-كورنيش ديرة","121-CORNICHE DEIRA","14"
"620","2020","119-الرقة","119-AL REGA","10623"
"621","2020","118-نايف","118-NAIF","50438"
"622","2020","117-المرر","117-AL MURAR","39227"
"623","2020","116-عيال ناصر","116-AYAL NASIR","19414"
"624","2020","115-السبخة","115-AL SABKHA","4020"
"625","2020","114-البطين","114-AL BUTEEN","2869"
"626","2020","113-الضغاية","113-AL DHAGAYA","15985"
"627","2020","353-الصفا الأولى","353-AL SAFFA FIRST","8722"
"628","2020","354-القوز الأولى","354-AL GOZE FIRST","20573"
"629","2020","355-القوز الثانية","355-AL GOZE SECOND","5354"
"630","2020","356-ام سقيم الأولى","356-UM SUQAIM FIRST","11947"
"631","2020","357-الصفا الثانية","357-AL SAFFA SECOND","6823"
"632","2020","358-القوز الثالثة","358-AL GOZE THIRD","40556"
"633","2020","359-القوز الرابعة","359-AL GOZE FOURTH","23403"
"634","2020","362-ام سقيم الثانية","362-UM SUQAIM SECOND","12572"
"635","2020","363-المنارة","363-AL MANARA","8443"
"636","2020","364-القوز الصناعية الأولى ","364-AL GOZE IND. FIRST ","25860"
"637","2020","365-القوز الصناعية الثانية ","365-AL GOZE IND. SECOND ","160517"
"638","2020","366-ام سقيم الثالثة","366-UM SUQAIM THIRD","7672"
"639","2020","367-ام الشيف","367-UM AL SHEIF","4464"
"640","2020","368-القوز الصناعية الثالثة ","368-AL GOZE IND. THIRD ","25504"
"641","2020","369-القوز الصناعية الرابعة ","369-AL GOZE IND. FOURTH ","37360"
"642","2020","372-الصفوح الأولى","372-AL SAFOUH FIRST","4516"
"643","2020","373-البرشاء الأولى","373-AL BARSHAA FIRST","40202"
"644","2020","375-البرشاء الثالثة","375-AL BARSHAA THIRD","14947"
"645","2020","376-البرشاء الثانية","376-AL BAESHAA SECOND","15901"
"646","2020","381-نخلة جميرا ","381-NAKHLAT JUMEIRA ","24741"
"647","2020","382-الصفوح الثانية","382-AL SOFOUH SECOND","6226"
"648","2020","383-الثنيه الأولى (قرية ربيع الصحراء)","383-AL THANYAH FIRST (V. RABIE SAHRAA)","25202"
"649","2020","384-الثنيه الثانية (مضمار جبل علي)","384-AL THANYAH SECOND (JEBEL ALI HORSE RACING)","115"
"650","2020","388-الثنيه الثالثة (تلال الامارات الثانية)","388-AL THANYAH THIRD (EMIRATE HILLS SECOND)","21769"
"651","2020","392-مرسى دبي (الميناء السياحي) ","392-MARSA DUBAI (AL MINA AL SEYAHI) ","61992"
"652","2020","393-الثنيه الخامسة (تلال الامارات الاولى)","393-AL THANYAH FIFTH (EMIRATE HILLS FIRST) ","41185"
"653","2020","394-الثنيه الرابعة (تلال الامارات الثالثة)","394-AL THANYAH FOURTH (EMIRATE HILLS THIRD) ","28164"
"654","2020","412-الخيران","412-AL KHEERAN","5060"
"655","2020","664-وادي الصفا 6 (المرابع العربية)","664-WADI AL SAFA 6 (ARABIAN RANCHES)","18511"
"656","2020","665-وادي الصفا 7 ","665-WADI AL SAFA 7","8613"
"657","2020","671-البرشاء جنوب الأولى","671-AL BARSHA SOUTH FIRST","14069"
"658","2020","672-البرشاء جنوب الثانية","672-AL BARSHA SOUTH SECOND","7661"
"659","2020","673-البرشاء جنوب الثالثة","673-AL BARSHA SOUTH THIRD","7023"
"660","2020","674-الحبيه الأولى","674-AL HEBIAH FIRST","10767"
"661","2020","675-الحبيه الثانية","675-AL HEBIAH SECOND","1546"
"662","2020","676-الحبيه الثالثة","676-AL HEBIAH THIRD","6955"
"663","2020","677-الحبيه السادسة","677-AL HEBIAH SIXTH","2359"
"664","2020","681-البرشاء جنوب الرابعة","681-AL BARSHA SOUTH FOURTH","26331"
"665","2020","682-الحبيه الرابعة","682-AL HEBIAH FOURTH","20916"
"666","2020","683-الحبيه الخامسة","683-AL HEBIAH FIFTH","9897"
"667","2020","684-البرشاء جنوب الخامسة","684-AL BARSHA SOUTH FIFTH","7506"
"668","2020","685-معيصم الأولى","685-MEAISEM FIRST","18233"
"669","2020","686-معيصم الثانية","686-MEAISEM SECOND","12"
"670","2020","711-العوير الأولى","711-AL AWEER ONE","4312"
"671","2020","721-العوير الثانية","721-AL AWEER TWO","5710"
"672","2020","724-نخلي","724-ENKHALI","2"
"673","2020","727-الوحوش","727-AL WOHOOSH","46"
"674","2020","731-لهباب الأولى","731-LEHBAB FIRST","3243"
"675","2020","735-المريال","735-AL MERYAL","760"
"676","2020","736-نزوه","736-NAZWAH","555"
"677","2020","811-ورسان الثالثة","811-WARSAN THIRD","14943"
"678","2020","812-الرويه الأولى","812-AL ROWAIYAH FIRST","3152"
"679","2021","648-وادي الصفا 5","648-WADI AL SAFA 5","20479"
"680","2021","646-وادي الصفا 4","646-WADI AL SAFA 4","167"
"681","2021","645-وادي الصفا 3","645-WADI AL SAFA 3","10270"
"682","2021","643-وادي الصفا 2","643-WADI AL SAFA 2","10890"
"683","2021","631-حدائق الشيخ محمد بن راشد","631-HADAEQ SHEIKH MOHAMMED BIN RASHID","3356"
"684","2021","626-ند حصة","626-NADD HESSA","40819"
"685","2021","624-ورسان الرابعة","624-WARSAN FOURTH","10104"
"686","2021","622-ورسان الثانية","622-WARSAN SECOND","1409"
"687","2021","621-ورسان الأولى","621-WARSAN FIRST","108176"
"688","2021","618-ند الشبا الأولى","618-NAD AL SHIBBA FIRST","6589"
"689","2021","617-ند الشبا الرابعة","617-NAD AL SHIBBA FOURTH","3898"
"690","2021","616-ند الشبا الثالثة","616-NAD AL SHIBBA THIRD","1137"
"691","2021","615-ند الشبا الثانية","615-NAD AL SHIBBA SECOND","2569"
"692","2021","614-رأس الخور الصناعية الثالثة","614-RAS AL KHOR IND. THIRD","22247"
"693","2021","613-رأس الخور الصناعية الثانية","613-RAS AL KHOR IND. SECOND","1833"
"694","2021","612-رأس الخور الصناعية الأولى","612-RAS AL KHOR IND. FIRST","2160"
"695","2021","611-بو كدرة","611-BU KADRA","112"
"696","2021","599-جبل علي الصناعية الأولى","599-JABAL ALI INDUSTRIAL FIRST","198228"
"697","2021","598-مجمع دبي للإستثمارالاول","598-DUBAI INVESTMENT PARK1","63094"
"698","2021","597-مجمع دبي للإستثمار الثاني","597-DUBAI INVESTMENT PARK2","80118"
"699","2021","594-ميناء جبل علي","594-MENA JABAL ALI","9467"
"700","2021","593-جبل علي الثالثة","593-JABAL ALI THIRD","218"
"701","2021","592-جبل علي الثانية","592-JABAL ALI  SECOND","1008"
"702","2021","591-جبل علي الأولى","591-JABAL ALI FIRST","77363"
"703","2021","533-سيح شعيب 4","533-SAIH SHUAIB 4","10766"
"704","2021","532-سيح شعيب 3","532-SAIH SHUAIB 3","4684"
"705","2021","664-وادي الصفا 6 (المرابع العربية)","664-WADI AL SAFA 6 (ARABIAN RANCHES)","18856"
"706","2021","665-وادي الصفا 7 ","665-WADI AL SAFA 7","8957"
"707","2021","671-البرشاء جنوب الأولى","671-AL BARSHA SOUTH FIRST","14500"
"708","2021","672-البرشاء جنوب الثانية","672-AL BARSHA SOUTH SECOND","7239"
"709","2021","673-البرشاء جنوب الثالثة","673-AL BARSHA SOUTH THIRD","8573"
"710","2021","674-الحبيه الأولى","674-AL HEBIAH FIRST","11155"
"711","2021","675-الحبيه الثانية","675-AL HEBIAH SECOND","1781"
"712","2021","676-الحبيه الثالثة","676-AL HEBIAH THIRD","7238"
"713","2021","677-الحبيه السادسة","677-AL HEBIAH SIXTH","2455"
"714","2021","681-البرشاء جنوب الرابعة","681-AL BARSHA SOUTH FOURTH","29087"
"715","2021","682-الحبيه الرابعة","682-AL HEBIAH FOURTH","21609"
"716","2021","683-الحبيه الخامسة","683-AL HEBIAH FIFTH","10302"
"717","2021","684-البرشاء جنوب الخامسة","684-AL BARSHA SOUTH FIFTH","7809"
"718","2021","685-معيصم الأولى","685-MEAISEM FIRST","18484"
"719","2021","686-معيصم الثانية","686-MEAISEM SECOND","13"
"720","2021","711-العوير الأولى","711-AL AWEER ONE","4488"
"721","2021","721-العوير الثانية","721-AL AWEER TWO","5874"
"722","2021","724-نخلي","724-ENKHALI","2"
"723","2021","727-الوحوش","727-AL WOHOOSH","48"
"724","2021","731-لهباب الأولى","731-LEHBAB FIRST","3389"
"725","2021","735-المريال","735-AL MERYAL","769"
"726","2021","736-نزوه","736-NAZWAH","575"
"727","2021","811-ورسان الثالثة","811-WARSAN THIRD","12613"
"728","2021","812-الرويه الأولى","812-AL ROWAIYAH FIRST","3263"
"729","2021","813-الرويه الثانية","813-AL ROWAIYAH SECOND","0"
"730","2021","814-الرويه الثالثة","814-AL ROWAIYAH THIRD","4897"
"731","2021","991-حفير","991-HEFAIR","0"
"732","2021","988-الليان 2","988-AL LAYAN 2","0"
"733","2021","987-الليان 1","987-AL LAYAN 1","0"
"734","2021","981-مقطره","981-MUGATRAH","347"
"735","2021","978-سيح شعيله","978-SAIH SHUAALAH","3"
"736","2021","975-العشوش","975-AL OSHOOSH","3"
"737","2021","971-سيح الدحل","971-SAIH AL DAHAL","3"
"738","2021","967-غدير براشي","967-GHADEER BARASHY","33"
"739","2021","961-الصلال","961-AL SELAL","684"
"740","2021","956-الحثمة","956-AL HATHMAH","37"
"741","2021","951-سيح السلم","951-SAIH AL SALAM","615"
"742","2021","945-الفقع","945-AL FAGAA","442"
"743","2021","941-قريطيسه","941-GRAYTEESAH","58"
"744","2021","931-الليسيلي","931-AL LESAILY","2950"
"745","2021","925-اليلايس 5","925-AL YALAYIS 5","88"
"746","2021","924-اليلايس 4","924-AL YALAYIS 4","8"
"747","2021","923-اليلايس 3","923-AL YALAYIS 3","4"
"748","2021","922-اليلايس 2","922-AL YALAYIS 2","3685"
"749","2021","921-اليلايس 1","921-AL YALAYIS 1","1679"
"750","2021","919-اليفره 4","919-AL YUFRAH 4","3"
"751","2021","918-اليفره 3","918-AL YUFRAH 3","1539"
"752","2021","917-المرموم","917-AL MARMOOM","141"
"753","2021","916-اليفره 2","916-AL YUFRAH 2","1593"
"754","2021","915-اليفره 1","915-AL YUFRAH 1","403"
"755","2021","914-أم نهد الرابعة","914-UMM NAHAD FOURTH","4"
"756","2021","913-أم نهد الثالثة","913-UMM NAHAD THIRD","3623"
"757","2021","912-أم نهد الثانية","912-UMM NAHAD SECOND","2"
"758","2021","911-أم نهد الأولى","911-UMM NAHAD FIRST","8"
"759","2021","891-حتا","891-HATTA","14985"
"760","2021","861-يراح","861-YARAAH","100"
"761","2021","857-مرقب","857-MARGAB","666"
"762","2021","851-رماح","851-REMAH","195"
"763","2021","847-أم السلي","847-UMM ESELAY","216"
"764","2021","845-المها","845-AL MAHA","205"
"765","2021","841-مرغم","841-MARGHAM","1217"
"766","2021","835-أم المؤمنين","835-UMM AL MOMENEEN","169"
"767","2021","831-لهباب الثانية","831-LEHBAB SECOND","1601"
"768","2021","826-الحميرا","826-LE HEMAIRA","56"
"769","2021","824-أم الدمن","824-UMM AL DAMAN","299"
"770","2021","821-مرييل","821-MEREIYEEL","424"
"771","2021","363-المنارة","363-AL MANARA","8745"
"772","2021","362-ام سقيم الثانية","362-UM SUQAIM SECOND","13236"
"773","2021","359-القوز الرابعة","359-AL GOZE FOURTH","21691"
"774","2021","358-القوز الثالثة","358-AL GOZE THIRD","50190"
"775","2021","364-القوز الصناعية الأولى ","364-AL GOZE IND. FIRST ","28060"
"776","2021","101-نخلة ديرة","101-NAKHLAT DEIRA","2"
"777","2021","111-الكورنيش","111-AL CORNICHE","2593"
"778","2021","112-الرأس","112-AL RASS","8067"
"779","2021","113-الضغاية","113-AL DHAGAYA","16723"
"780","2021","114-البطين","114-AL BUTEEN","3016"
"781","2021","115-السبخة","115-AL SABKHA","4205"
"782","2021","116-عيال ناصر","116-AYAL NASIR","19820"
"783","2021","117-المرر","117-AL MURAR","40105"
"784","2021","118-نايف","118-NAIF","53075"
"785","2021","119-الرقة","119-AL REGA","11097"
"786","2021","531-سيح شعيب 2","531-SAIH SHUAIB 2","12629"
"787","2021","521-مدينة المطار","521-MADINAT AL MATAAR","4150"
"788","2021","518-جبل علي الصناعية الثانية","518-JABAL ALI INDUSTRIAL SECOND","28000"
"789","2021","516-جبل علي الصناعية الثالثة ","516-JABAL ALI INDUSTRIAL THIRD","0"
"790","2021","513-سيح شعيب 1","513-SAIH SHUAIB 1","16"
"791","2021","512-حصيان الثانية","512-HESSYAN SECOND","10381"
